arm,pid,metric,n_logged_steps,mean,population_std,min,max,step1,step150,last50_mean
target,2524363,global_seqlen/max,150,2017792.7133333334,360175.6875977488,1318280.0,3438643.0,2477407.0,1975155.0,1913270.18
target,2524363,global_seqlen/mean,150,1961434.82,354196.5236546009,1310529.5,3355839.0,2410171.5,1951191.5,1862204.29
target,2524363,global_seqlen/min,150,1905076.9266666668,353762.08318431745,1302779.0,3273035.0,2342936.0,1927228.0,1811138.4
target,2524363,global_seqlen/minmax_diff,150,112715.78666666667,89036.8766007723,395.0,423871.0,134471.0,47927.0,102131.78
target,2524363,opd/score/max,150,10.0,0.0,10.0,10.0,10.0,10.0,10.0
target,2524363,opd/score/max/alfworld,150,10.0,0.0,10.0,10.0,10.0,10.0,10.0
target,2524363,opd/score/max/search,150,1.0,0.0,1.0,1.0,1.0,1.0,1.0
target,2524363,opd/score/max/webshop,150,10.0,0.0,10.0,10.0,10.0,10.0,10.0
target,2524363,opd/score/mean,150,3.8543999999999996,1.3172089735497554,0.157,7.328,0.352,3.555,4.2704
target,2524363,opd/score/mean/alfworld,150,3.831466666666667,1.5092763151774282,0.122,7.907,0.349,3.568,4.2336599999999995
target,2524363,opd/score/mean/search,150,0.3645066666666667,0.10127077542685034,0.138,0.622,0.338,0.257,0.37914000000000003
target,2524363,opd/score/mean/webshop,150,5.226240000000001,1.7560591435749917,0.24,8.619,0.367,4.44,5.75934
target,2524363,opd/score/min,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,opd/score/min/alfworld,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,opd/score/min/search,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,opd/score/min/webshop,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,2524363,perf/cpu_memory_used_gb,150,188.78276666666667,6.601955194654249,170.758,200.674,170.758,200.619,195.49806
target,2524363,perf/max_memory_allocated_gb,150,128.22117333333335,7.614768002372469,104.765,131.193,104.765,131.193,131.193
target,2524363,perf/max_memory_reserved_gb,150,145.21513333333334,0.13891271440089092,144.617,145.27,144.617,145.27,145.27
target,2524363,perf/mfu/actor,150,0.27404,0.005596284481689611,0.256,0.289,0.258,0.271,0.27488
target,2524363,perf/throughput,150,3124.1217666666666,127.94591733981024,2670.48,3472.399,2954.101,3033.436,3093.68784
target,2524363,perf/throughput/alfworld,150,1912.26304,224.93156759811433,1408.276,2592.747,2021.586,1678.15,1861.12964
target,2524363,perf/throughput/search,150,180.56658000000002,34.59333510688053,76.199,304.448,76.199,201.127,189.35394
target,2524363,perf/throughput/webshop,150,1031.2921266666665,132.69644589052598,601.753,1326.471,856.315,1154.159,1043.20426
target,2524363,perf/time_per_step,150,626.0679466666667,98.6005978676794,452.069,1060.414,815.873,643.228,601.53666
target,2524363,perf/total_num_tokens,150,3922869.64,708393.0473092018,2621059.0,6711678.0,4820343.0,3902383.0,3724408.58
target,2524363,perf/total_num_tokens/alfworld,150,2428917.42,665075.1068817644,1286154.0,5092084.0,3298716.0,2158867.0,2251495.06
target,2524363,perf/total_num_tokens/search,150,221237.59333333332,30328.7903770431,124338.0,329003.0,124338.0,258741.0,225710.52
target,2524363,perf/total_num_tokens/webshop,150,1272714.6266666667,136320.29754586788,1004810.0,1742731.0,1397289.0,1484775.0,1247203.0
