source_commit,original_path,annotated_path,language,file_type,source_size_bytes,source_line_count,source_nonempty_line_count,source_sha256,changed_vs_master,git_status_vs_master,execution_relevance,production_status,annotation_mode,status,skip_reason,annotation_coverage,source_preservation,syntax_validation,baseline_test_relevance,notes,last_commit
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_5_4/hf_weight_loader.py,,python,source,1760,41,35,ff40de36d68f09f02678378aa7653c3f202939b3bd5a8237dde2e6575f5f3bae,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_5_4/llm.py,,python,source,11393,224,204,7266f232914143d87db6d7e470a779edae9b3c1476254a87a4153bc89d0194f6,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_5_4/llm_engine_sp.py,,python,source,14398,331,294,8cf1f41bf7e9e7645dab5bbc085cb9c467635af2115043402f4e67eafa15593b,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_5_4/megatron_weight_loaders.py,,python,source,10027,219,189,7c666861dec8c675a7013d78e329b8deca5112c920d2717a7722b082b4ff078f,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_5_4/model_loader.py,,python,source,14224,329,284,bc71cf447efe3a661d3d7c913158b8d62c01d5d62ad2f8d2834ea3d5d51d1cf7,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_5_4/model_runner.py,,python,source,6451,155,140,a1b84cc3020c8316bfe39c6feebb4e2ff4720b9f57d2d074179935436dbab6a6,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_5_4/parallel_state.py,,python,source,12757,302,250,5c41a1c4ed1e01ede71ec60288dfea7a14dc0fdfa9ade5cb2a3afa17eae9598d,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_5_4/spmd_gpu_executor.py,,python,source,9966,250,200,d6cbf9386a990e984bf31268b579cb93be07c366e4ea3d11831dc38d5e04feb1,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_5_4/tokenizer.py,,python,source,3098,69,57,5b324254e8405383cb4cf3edaa03fed33fbb3ec41314ea8f649fac202d88fbc2,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_5_4/worker.py,,python,source,14881,323,279,d76a14913bf309d90c22501e87efa040c8eac943faf374c8ce5384e03b336f94,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_6_3/__init__.py,,python,source,600,13,13,e65abd77db034b4f29eb1268c24867f84919dbce22e28d1997e563ed1d94179c,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_6_3/arg_utils.py,,python,source,3142,78,67,fa211803d2705904fa27b4af7c4db629e60623046cc675bc04f5786a20675efc,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_6_3/config.py,,python,source,4084,100,82,a68578908773ad3988ab5f5bf49139c78f749cf51760698299bbb86084426470,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_6_3/dtensor_weight_loaders.py,,python,source,17236,374,332,ba950ca6bcc44ba72a82c79a72dd8628f7b60eb6771863812828a4c69f375a3f,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_6_3/hf_weight_loader.py,,python,source,1766,41,35,bc0f0b478553aec5e3cdf37db9f4afb35a7450f7912346930fc68d85b144572b,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_6_3/llm.py,,python,source,10157,197,177,1c0d086f978d142f43bd19da25c67ae6a44fe8b2e4ed0b9bc52beaaac6d70791,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_6_3/llm_engine_sp.py,,python,source,17382,390,345,d0858569e799c76b4cdc81e732b92421ac9f07a436ea3ba23e1956c0ea2d9578,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_6_3/megatron_weight_loaders.py,,python,source,11002,241,207,6a95dde40ac6a780948c75085aa828a45d82a066ab581f5bdfe14111377a888c,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_6_3/model_loader.py,,python,source,14161,328,279,02a7f58d40a1fe8626e001ea6a5b48f362af2a333e33e2090289e7e060ef0ed0,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_6_3/model_runner.py,,python,source,7415,174,156,c22c7dfb6d7cc1d41a91b4f38875113d67baf5aa61f419513e4d490e569251bd,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_6_3/parallel_state.py,,python,source,12767,304,251,16871da289897db80f1c9c07483c09947950bdfc4f73ff471d298cc0f2d7ebb0,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_6_3/spmd_gpu_executor.py,,python,source,9973,250,200,2066f46333306d866f0e8ee1b105a145d520f089b3873527233cba70f0151fd7,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_6_3/tokenizer.py,,python,source,1632,39,32,ef4a270d336fccc68ca9a26f7b08f6b9c0dff6baf2bd122fdcc0acfe26469451,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/third_party/vllm/vllm_v_0_6_3/worker.py,,python,source,14761,320,276,81d0f4fd76b8ca422461897b5c810601c673b3c55f0e4afaf861562dcdc147c1,False,,shared_training,production,source_mirror,skipped,unchanged_vendor_copy,,skipped,skipped,indirect,source_encoding=utf-8,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/tools/__init__.py,docs/code_explanation/annotated/verl/tools/__init__.py,python,source,634,14,14,0bae18fab65cb4028732b91a1215baf8e02f9fdf8b4762a523662a34374e7432,False,,shared_training,production,source_mirror,completed,,1.0,passed,passed,indirect,source_encoding=utf-8; generated_explain_lines=0,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/tools/base_tool.py,docs/code_explanation/annotated/verl/tools/base_tool.py,python,source,2839,86,68,835549c0f01a65d7222b17ea451fd8925fcee20809a371562ed7b066d33225a0,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=26,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/tools/gsm8k_tool.py,docs/code_explanation/annotated/verl/tools/gsm8k_tool.py,python,source,3825,104,88,c3e7e3bb56b66b2331119137c94e4aade40e70366f72b650be2f45a293f987e2,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=38,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/tools/sandbox_fusion_tools.py,docs/code_explanation/annotated/verl/tools/sandbox_fusion_tools.py,python,source,7099,179,147,5a22e7aeb5f6cdf92acdce8762baa4eedfb00fdacdae878f75b00038e929d6aa,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=99,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/tools/schemas.py,docs/code_explanation/annotated/verl/tools/schemas.py,python,source,2579,87,63,143a372a879dc6c9b6a6a2a7925c27d3d50744b37ffedf7d4e484074e381790f,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=48,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/tools/search_tool.py,docs/code_explanation/annotated/verl/tools/search_tool.py,python,source,10463,258,206,450ad59845451c990b891c3ba187fa589e15fcc9bd77aa6bab3f8961a04e9c5a,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=121,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/tools/utils/__init__.py,docs/code_explanation/annotated/verl/tools/utils/__init__.py,python,source,634,14,14,0bae18fab65cb4028732b91a1215baf8e02f9fdf8b4762a523662a34374e7432,False,,shared_training,production,source_mirror,completed,,1.0,passed,passed,indirect,source_encoding=utf-8; generated_explain_lines=0,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/tools/utils/search_r1_like_utils.py,docs/code_explanation/annotated/verl/tools/utils/search_r1_like_utils.py,python,source,10319,227,194,088624ae93df252de060b8b4f92f1c9207b08535c42caa5911037476d3ad90f9,True,M,pure_opd_transitive,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=128,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/trainer/__init__.py,docs/code_explanation/annotated/verl/trainer/__init__.py,python,source,600,13,13,e65abd77db034b4f29eb1268c24867f84919dbce22e28d1997e563ed1d94179c,False,,shared_training,production,source_mirror,completed,,1.0,passed,passed,indirect,source_encoding=utf-8; generated_explain_lines=0,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/trainer/config/evaluation.yaml,docs/code_explanation/annotated/verl/trainer/config/evaluation.yaml,yaml,config,373,13,11,d290930cc2bf8fb5292e3a446a78230e809085af60aee16b0aa507ec0fb303d6,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=11,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/trainer/config/generation.yaml,docs/code_explanation/annotated/verl/trainer/config/generation.yaml,yaml,config,1380,50,47,97d7b7e136c574ebe0dc8626de8966ec4ed1bc7491749bc64f8f50b36975378f,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=44,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/trainer/config/ppo_megatron_trainer.yaml,docs/code_explanation/annotated/verl/trainer/config/ppo_megatron_trainer.yaml,yaml,config,12993,317,311,5680a013f261f7d3dc6730b928ba968f69dacc8188e6bbfb6951047d5fc926cb,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=298,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/trainer/config/ppo_trainer.yaml,docs/code_explanation/annotated/verl/trainer/config/ppo_trainer.yaml,yaml,config,13861,333,325,bdcc9992cedb734c3e36f0f9a791d94b4a9d089511a4d2415c28054832e7b645,True,M,pure_opd_transitive,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=315,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/trainer/config/sft_trainer.yaml,docs/code_explanation/annotated/verl/trainer/config/sft_trainer.yaml,yaml,config,1646,59,58,4f935d0522ca5962232cd508ce3c730529bd2d60cf7a82215d9649007825b738,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=56,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/trainer/constants_ppo.py,docs/code_explanation/annotated/verl/trainer/constants_ppo.py,python,source,2119,54,48,a4a68e23a522fbf74079fe6e87f64a29e8fcc1cbb8942e7a9d022751f27e56a1,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=12,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/trainer/fsdp_sft_trainer.py,docs/code_explanation/annotated/verl/trainer/fsdp_sft_trainer.py,python,source,27840,607,497,95e983b18f2f6c43598f99ef417936c6a78260fcc2b95510ba62c47b0cd82e74,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=340,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/trainer/main_eval.py,docs/code_explanation/annotated/verl/trainer/main_eval.py,python,source,2735,78,61,5c1b656bea6e1609c6bf8d63fcf4154562067a0d6d1a04c8a16dfb0068424b29,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=40,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/trainer/main_generation.py,docs/code_explanation/annotated/verl/trainer/main_generation.py,python,source,5656,145,115,2eabae33532ee6b1ddcef5beab2d075a3ffa42a68b5c603385d3fc6a3a35b603,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=81,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/trainer/main_opd.py,docs/code_explanation/annotated/verl/trainer/main_opd.py,python,source,9617,221,172,1776854213187461c3d0bfcb1e5e63384f5fdaa8eb616d8b84d7d9f49da91f0c,True,A,pure_opd_critical,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=112,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/trainer/main_ppo.py,docs/code_explanation/annotated/verl/trainer/main_ppo.py,python,source,14998,351,282,6d40919daf8ffddeb7a250abd062b1457b2e2d1920f66968e84d341343588f69,True,M,pure_opd_transitive,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=183,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/trainer/main_rlsd.py,docs/code_explanation/annotated/verl/trainer/main_rlsd.py,python,source,7417,185,140,5d8d13ac805e044b853bae37b82b6ddad3161b3841630f9ee6f626eb5272a16f,False,,shared_training,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=100,
10cacaf6fb2cd4eea971b06d3e73ada868b611f4,verl/trainer/main_sdar.py,docs/code_explanation/annotated/verl/trainer/main_sdar.py,python,source,8509,202,155,e552c9b698dff91cd5fea19ff10a4186e99ec2592ba4129c51fc762711a862a4,True,M,pure_opd_transitive,production,source_mirror,completed,,1.0,passed_legacy_transition,passed,indirect,source_encoding=utf-8; generated_explain_lines=115,
